recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3654693,"Brief von Gerhart Lüders an Hans-Arwed Weidenmüller an University of Minnesota. Department of Physics, 10.06.1959",1959-06-10,"Lüders, Gerhart (1920-1995)","Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654700,"Brief von Hans-Arwed Weidenmüller von University of Minnesota. Department of Physics an Gerhart Lüders, 15.06.1959",1959-06-15,"Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics","Lüders, Gerhart (1920-1995)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654706,"Brief von Gerhart Lüders an Hans-Arwed Weidenmüller an University of Minnesota. Department of Physics, 23.06.1959",1959-06-23,"Lüders, Gerhart (1920-1995)","Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics",,Brief
DE-611-HS-3655589,Aktenverweis (Einheitstitel von Bearbeiter/in),1972-07-11,,,,unknown
DE-611-HS-3655594,Aktenverweis (Einheitstitel von Bearbeiter/in),1958-11-10,,,,unknown
DE-611-HS-3655599,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Julius Weidner, 03.11.1958",1958-11-03,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weidner, Julius","Heisenberg, Werner (1901-1976); Lüders, Gerhart (1920-1995); Symanzik, Kurt (1923-1983)",Brief
DE-611-HS-3655601,"Brief von Julius Weidner an Werner Heisenberg, 28.07.1958",1958-07-28,"Weidner, Julius","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655607,"Brief von Werner Heisenberg an Julius Weidner, 24.05.1957",1957-05-24,"Heisenberg, Werner (1901-1976)","Weidner, Julius",,Brief
DE-611-HS-3655609,"Brief von Julius Weidner an Werner Heisenberg, 22.05.1958",1958-05-22,"Weidner, Julius","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655614,"Brief von Julius Weidner an Werner Heisenberg, 01.05.1957",1957-05-01,"Weidner, Julius","Heisenberg, Werner (1901-1976)","Bopp, Fritz (1909-1987)",Brief
DE-611-HS-3655618,"Brief von Julius Weidner an Werner Heisenberg, 10.09.1956",1956-09-10,"Weidner, Julius","Heisenberg, Werner (1901-1976)","Bopp, Fritz (1909-1987)",Brief
DE-611-HS-3655630,"Brief von Werner Heisenberg an Bernd Acker an Universität Karlsruhe. Institut für Technische Mechanik, 21.12.1970",1970-12-21,"Heisenberg, Werner (1901-1976)","Acker, Bernd; Universität Karlsruhe. Institut für Technische Mechanik (-2009)","Weidenhammer, F.",Brief
DE-611-BF-80362,"496. IV. Institutionen, 1. Korrespondenz: Weig-Weiz",1951,,,,unknown
DE-611-HS-3655663,"Brief von Walter Weigmann an Werner Heisenberg, 09.03.1937",1937-03-09,"Weigmann, Walter (1902-1945) [vermutlich]","Heisenberg, Werner (1901-1976)","Heisenberg, Elisabeth (1914-1998)",Brief
DE-611-HS-3655724,"Brief von Werner Heisenberg an Hermann J. Weihe, 07.07.1971",1971-07-07,"Heisenberg, Werner (1901-1976)","Weihe, Hermann J.",,Brief
DE-611-HS-3655730,"Brief von Hermann J. Weihe an Werner Heisenberg, 21.06.1971",1971-06-21,"Weihe, Hermann J.","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655735,"Brief von Werner Heisenberg an Karl Weimer, 22.05.1957",1957-05-22,"Heisenberg, Werner (1901-1976)","Weimer, Karl","Gierke, Gerhart von (1922-2003)",Brief
DE-611-HS-3655737,"Brief von Karl Weimer von Physikalische Studiengesellschaft (Düsseldorf) an Werner Heisenberg, 24.04.1957",1957-04-24,"Weimer, Karl; Physikalische Studiengesellschaft (Düsseldorf)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655742,Visitenkarte Hermann Wein (Einheitstitel von Bearbeiter/in),1967,,,,unknown
DE-611-HS-3655747,"Brief von Hermann Wein an Werner Heisenberg, o.D.",o.D.,"Wein, Hermann","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655752,"Brief von Martin Wein an Werner Heisenberg, 27.02.1967",1967-02-27,"Wein, Martin (1925-) [vermutlich]","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655753,"Brief von Werner Heisenberg an Martin Wein, 15.03.1966",1966-03-15,"Heisenberg, Werner (1901-1976)","Wein, Martin (1925-)",,Brief
DE-611-HS-3655756,"Brief von Martin Wein an Werner Heisenberg, 08.03.1966",1966-03-08,"Wein, Martin (1925-) [vermutlich]","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655909,"Brief von Werner Heisenberg an Steven Weinberg an Massachusetts Institute of Technology. Department of Physics, 12.07.1968",1968-07-12,"Heisenberg, Werner (1901-1976)","Weinberg, Steven (1933-2021); Massachusetts Institute of Technology. Department of Physics","Dürr, Hans-Peter (1929-2014)",Brief
DE-611-HS-3655911,Aktennotizen (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3655918,Aktennotizen (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3655922,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Richard M. Weiner an Rheinische Friedrich-Wilhelms-Universität Bonn. Physikalisches Institut, 12.05.1970",1970-05-12,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weiner, Richard M. (1930-2020); Rheinische Friedrich-Wilhelms-Universität Bonn. Physikalisches Institut","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3655927,"Brief von Richard M. Weiner von Rheinische Friedrich-Wilhelms-Universität Bonn. Physikalisches Institut an Werner Heisenberg, 23.04.1970",1970-04-23,"Weiner, Richard M. (1930-2020); Rheinische Friedrich-Wilhelms-Universität Bonn. Physikalisches Institut","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655932,"Brief von T. Weiner von Rutgers University. Department of Physics an Werner Heisenberg, 11.05.1959",1959-05-11,"Weiner, T.; Rutgers University. Department of Physics","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655934,"Brief von T. Weiner von Rutgers University. Department of Physics an Werner Heisenberg, 02.05.1959",1959-05-02,"Weiner, T.; Rutgers University. Department of Physics","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655937,"Brief von T. Weiner an Werner Heisenberg, 03.01.1954",1954-01-03,"Weiner, T.","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655938,"Brief von Werner Heisenberg an T. Weiner, 15.12.1953",1953-12-15,"Heisenberg, Werner (1901-1976)","Weiner, T.",,Brief
DE-611-HS-3655939,"Brief von T. Weiner an Werner Heisenberg, 29.11.1953",1953-11-29,"Weiner, T.","Heisenberg, Werner (1901-1976)","Einstein, Albert (1879-1955)",Brief
DE-611-HS-3656616,"Brief von Albert Weinik an Werner Heisenberg, 06.09.1968",1968-09-06,"Weinik, Albert","Heisenberg, Werner (1901-1976)","Einstein, Albert (1879-1955)",Brief
DE-611-HS-3656624,"Brief von Werner Heisenberg an Ingeborg Weiß, 15.01.1973",1973-01-15,"Heisenberg, Werner (1901-1976)","Weiß, Ingeborg",,Brief
DE-611-HS-3656632,"Brief von Ingeborg Weiß an Werner Heisenberg, 10.01.1973",1973-01-10,"Weiß, Ingeborg","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3656643,"Brief von Karl Günther Weiss von Bayern. Oberlandesgericht (München) an Werner Heisenberg, 15.10.1970",1970-10-15,"Weiss, Karl Günther (1917-2001); Bayern. Oberlandesgericht (München)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3656648,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Karl Günther Weiss, 21.10.1970",1970-10-21,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weiss, Karl Günther (1917-2001)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3656657,"Brief von Werner Heisenberg an Norbert Weiss, 21.12.1970",1970-12-21,"Heisenberg, Werner (1901-1976)","Weiss, Norbert","Kadjew, Rollan (1940-)",Brief
DE-611-HS-3656677,"Brief von Norbert Weiss an Werner Heisenberg, 05.12.1970",1970-12-05,"Weiss, Norbert","Heisenberg, Werner (1901-1976)","Kadjew, Rollan (1940-)",Brief
DE-611-HS-3656721,"Brief von Norbert Weiss an Werner Heisenberg, 16.05.1970",1970-05-16,"Weiss, Norbert","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3656728,"Brief von Werner Heisenberg an Paul A. Weiss, 13.12.1973",1973-12-13,"Heisenberg, Werner (1901-1976)","Weiss, Paul A. (1898-1989)",,Brief
DE-611-HS-3656737,"Brief von Paul A. Weiss von Rockefeller University an Werner Heisenberg, 09.08.1972",1972-08-09,"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)","Heisenberg, Werner (1901-1976)","Kreutzberg, Georg W. (1932-2019)",Brief
DE-611-HS-3656740,"Brief von Werner Heisenberg an Paul A. Weiss an Rockefeller University, 24.07.1972",1972-07-24,"Heisenberg, Werner (1901-1976)","Weiss, Paul A. (1898-1989); Rockefeller University (1965-)",,Brief
DE-611-HS-3656753,"Brief von Paul A. Weiss von Rockefeller University an Werner Heisenberg, 18.07.1972",1972-07-18,"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3656760,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Paul A. Weiss an Rockefeller University, 11.02.1972",1972-02-11,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weiss, Paul A. (1898-1989); Rockefeller University (1965-)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3656775,"Brief von Werner Heisenberg an Paul A. Weiss an Rockefeller University, 08.01.1970",1970-01-08,"Heisenberg, Werner (1901-1976)","Weiss, Paul A. (1898-1989); Rockefeller University (1965-)",,Brief
DE-611-HS-3656791,"Brief von Paul A. Weiss von Rockefeller University an Werner Heisenberg, 09.12.1969",1969-12-09,"Weiss, Paul A. (1898-1989); Rockefeller University (1965-)","Heisenberg, Werner (1901-1976)","Anshen, Ruth Nanda (1900-2003); Compton, Arthur Holly (1892-1962); Schrödinger, Erwin (1887-1961)",Brief
DE-611-HS-3656935,"Brief von Werner Heisenberg an Alexander Weissberg-Cybulski, 28.11.1951",1951-11-28,"Heisenberg, Werner (1901-1976)","Weissberg-Cybulski, Alexander (1901-)","Houtermans, Fritz Georg (1903-1966) [vermutlich]; Stalin, Josif Vissarionovič (1878-1953)",Brief
DE-611-HS-3656984,"Brief von Alexander Weissberg-Cybulski von Verlag der Frankfurter Hefte an Werner Heisenberg, 15.11.1951",1951-11-15,"Weissberg-Cybulski, Alexander (1901-); Verlag der Frankfurter Hefte","Heisenberg, Werner (1901-1976)","Astor, David (1912-2001)",Brief
DE-611-HS-3656997,"Brief von L. Arnold Weissberger an Werner Heisenberg, 01.09.1960",1960-09-01,"Weissberger, L. Arnold (1907-1981) [vermutlich]","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657012,"Brief von Wiltrud Huber von Max-Planck-Institut für Physik. Direktion. Sekretariat an Günther Weitzel an Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut, 13.11.1967",1967-11-13,"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weitzel, Günther (1915-1984); Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut (-2004)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3657016,"Brief von Günther Weitzel von Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut an Wiltrud Huber an Max-Planck-Institut für Physik und Astrophysik, 09.11.1967",1967-11-09,"Weitzel, Günther (1915-1984); Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut (-2004)","Huber, Wiltrud; Max-Planck-Institut für Physik und Astrophysik (1958-1991)","Butenandt, Adolf (1903-1995); Karlson, Peter [vermutlich]",Brief
DE-611-HS-3657024,"Brief von Wiltrud Huber von Max-Planck-Institut für Physik. Direktion. Sekretariat an Günther Weitzel an Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut, 07.11.1967",1967-11-07,"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weitzel, Günther (1915-1984); Eberhard Karls Universität Tübingen. Physiologisch-Chemisches Institut (-2004)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3657029,Aktennotizen (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3657034,Aktennotizen (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3657036,Aktennotizen (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3657044,Weizmann Institute of Science (Incipit des Druckes),1964,"Hahn, Otto (1879-1968); Warburg, Siegmund (1902-1982); Salin, Edgar (1892-1974)",,,unknown
DE-611-BF-80363,"497. IV. Institutionen, 1. Korrespondenz: Welk-Welt",1946,,,,unknown
DE-611-HS-3657104,"Brief von Heinrich Welker an Werner Heisenberg, 29.05.1948",1948-05-29,"Welker, Heinrich","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657116,"Brief von Werner Heisenberg an Heinrich Welker, 05.05.1948",1948-05-05,"Heisenberg, Werner (1901-1976)","Welker, Heinrich",,Brief
DE-611-HS-3657120,"Brief von Werner Heisenberg an Heinrich Welker, 23.03.1948",1948-03-23,"Heisenberg, Werner (1901-1976)","Welker, Heinrich",,Brief
DE-611-HS-3657124,"Brief von Heinrich Welker an Werner Heisenberg, 05.11.1948",1948-11-05,"Welker, Heinrich","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657134,"Brief von Ludwig-Maximilians-Universität München. Physikalisches Institut an Werner Heisenberg, 24.02.1948",1948-02-24,Ludwig-Maximilians-Universität München. Physikalisches Institut,"Heisenberg, Werner (1901-1976)","Welker, Heinrich",Brief
DE-611-HS-3657353,"Brief von Jacob Neufeld von Well Surveys Incorporated an Werner Heisenberg, 08.07.1947",1947-07-08,"Neufeld, Jacob; Well Surveys Incorporated","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657361,"Brief von Werner Heisenberg an Albert Wellek an Johannes Gutenberg-Universität Mainz. Psychologisches Institut, 31.03.1967",1967-03-31,"Heisenberg, Werner (1901-1976)","Wellek, Albert (1904-1972); Johannes Gutenberg-Universität Mainz. Psychologisches Institut",,Brief
DE-611-HS-3657380,"Brief von Albert Wellek von Johannes Gutenberg-Universität Mainz. Psychologisches Institut an Werner Heisenberg, 06.03.1967",1967-03-06,"Wellek, Albert (1904-1972); Johannes Gutenberg-Universität Mainz. Psychologisches Institut","Heisenberg, Werner (1901-1976)","Krueger, Felix (1874-1948); Lersch, Philipp (1898-1972)",Brief
DE-611-HS-3657389,"Brief von Elisabeth Wellhöfer an Werner Heisenberg, 29.08.1965",1965-08-29,"Wellhöfer, Elisabeth","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657404,"Brief von Hans-Peter Dürr an Elisabeth Wellhöfer, 14.09.1965",1965-09-14,"Dürr, Hans-Peter (1929-2014)","Wellhöfer, Elisabeth","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3657443,"Brief von Werner Heisenberg an Friedrich Schneider an Max-Planck-Gesellschaft zur Förderung der Wissenschaften, 14.12.1970",1970-12-14,"Heisenberg, Werner (1901-1976)","Schneider, Friedrich (1913-1981); Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)","Welser, Maria von (1946-) [vermutlich]",Brief
DE-611-HS-3657499,"Brief von F. Read an Otto Hahn, 15.04.1946",1946-04-15,"Read, F.","Hahn, Otto (1879-1968)","Heisenberg, Werner (1901-1976); Welsh, Eric",Brief
DE-611-HS-3657511,"Brief von Eric Welsh an Werner Heisenberg, 05.04.1946",1946-04-05,"Welsh, Eric","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657531,"Brief von Werner Heisenberg an Eric Welsh, 04.03.1946",1946-03-04,"Heisenberg, Werner (1901-1976)","Welsh, Eric",,Brief
DE-611-HS-3657547,"Brief von Werner Heisenberg an Hans Dohrenbusch an Redaktion Welt der Arbeit (Köln), 29.08.1955",1955-08-29,"Heisenberg, Werner (1901-1976)","Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)",,Brief
DE-611-HS-3657555,"Brief von Hans Dohrenbusch von Redaktion Welt der Arbeit (Köln) an Werner Heisenberg, 16.08.1955",1955-08-16,"Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)","Heisenberg, Werner (1901-1976)","Hahn, Otto (1879-1968)",Brief
DE-611-HS-3657560,"Brief von Werner Heisenberg an Hans Dohrenbusch an Redaktion Welt der Arbeit (Köln), 19.01.1955",1955-01-19,"Heisenberg, Werner (1901-1976)","Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)",,Brief
DE-611-HS-3657565,"Brief von Hans Dohrenbusch von Redaktion Welt der Arbeit (Köln) an Werner Heisenberg, 15.01.1955",1955-01-15,"Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657583,"Brief von Werner Heisenberg an Oskar Vogelhuber an Welt der Schule. Schriftleitung, 08.10.1956",1956-10-08,"Heisenberg, Werner (1901-1976)","Vogelhuber, Oskar (1878-1971); Welt der Schule. Schriftleitung","Schneider, Rudolf [vermutlich]",Brief
DE-611-HS-3657592,"Brief von Oskar Vogelhuber von Welt der Schule. Schriftleitung an Werner Heisenberg, 07.08.1956",1956-08-07,"Vogelhuber, Oskar (1878-1971); Welt der Schule. Schriftleitung","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657600,"Brief von Rudolf Schneider von Welt der Schule. Schriftleitung an Werner Heisenberg, 24.11.1954",1954-11-24,"Schneider, Rudolf [vermutlich]; Welt der Schule. Schriftleitung","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657614,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Rudolf Schneider an Welt der Schule. Schriftleitung, 04.11.1954",1954-11-04,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Schneider, Rudolf; Welt der Schule. Schriftleitung","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3657622,"Brief von Rudolf Schneider von Welt der Schule. Schriftleitung an Werner Heisenberg, 25.10.1954",1954-10-25,"Schneider, Rudolf; Welt der Schule. Schriftleitung","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657627,Jahresbericht des Arbeitskreises München der W.O.M.A.N. für das Jahr 1964 (Incipit der Unterlage),1965-01-21,"Küpper, Christel",,,unknown
DE-611-HS-3657683,"Brief von Günther Schwab von World Union for Protection of Life an Werner Heisenberg, 1963 [ca.]",1963,"Schwab, Günther (1904-2006); World Union for Protection of Life (1962-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657688,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an World Union for Protection of Life, 04.05.1973",1973-05-04,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat",World Union for Protection of Life (1962-),"Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3657700,"Brief von World Union for Protection of Life an Werner Heisenberg, 10.04.1973",1973-04-10,World Union for Protection of Life (1962-),"Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657715,"Brief von Karl Saller von World Federation of Scientific Workers an Werner Heisenberg, 01.10.1962",1962-10-01,"Saller, Karl (1902-1969); World Federation of Scientific Workers (1946-1994)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3657727,"Brief von Werner Heisenberg an Weltfriedensbewegung, 30.11.1967",1967-11-30,"Heisenberg, Werner (1901-1976)",Weltfriedensbewegung,,Brief
DE-611-HS-3657739,"Brief von Willy Heimberg und Ferdinand Pieck von Weltfriedensbewegung an Werner Heisenberg, 15.11.1967",1967-11-15,"Heimberg, Willy; Pieck, Ferdinand; Weltfriedensbewegung","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659631,Aktennotiz (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3659642,Aktennotiz (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3659661,"Brief von Verlagshaus Die Welt (Hamburg u.a.) an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 15.12.1967",1967-12-15,Verlagshaus Die Welt (Hamburg u.a.),"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3659671,"Brief von Werner Heisenberg an Lorenz Stucki an Weltwoche  / Redaktion (Zürich), 07.10.1959",1959-10-07,"Heisenberg, Werner (1901-1976)","Stucki, Lorenz; Weltwoche (Zürich) / Redaktion",,Brief
DE-611-HS-3659682,"Brief von Lorenz Stucki von Weltwoche  / Redaktion (Zürich) an Werner Heisenberg, 28.09.1959",1959-09-28,"Stucki, Lorenz; Weltwoche (Zürich) / Redaktion","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659689,"Brief von Werner Heisenberg an Georg Gerster an Weltwoche  / Redaktion (Zürich), 29.05.1953",1953-05-29,"Heisenberg, Werner (1901-1976)","Gerster, Georg (1928-2019); Weltwoche (Zürich) / Redaktion",,Brief
DE-611-HS-3659703,"Brief von Georg Gerster von Weltwoche  / Redaktion (Zürich) an Werner Heisenberg, 26.04.1953",1953-04-26,"Gerster, Georg (1928-2019); Weltwoche (Zürich) / Redaktion","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659710,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Lily Abegg an Weltwoche  / Redaktion (Zürich), 16.09.1950",1950-09-16,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Abegg, Lily (1901-1974); Weltwoche (Zürich) / Redaktion","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3659714,"Brief von Werner Heisenberg an Lily Abegg an Weltwoche  / Redaktion (Zürich), 09.09.1950",1950-09-09,"Heisenberg, Werner (1901-1976)","Abegg, Lily (1901-1974); Weltwoche (Zürich) / Redaktion",,Brief
DE-611-HS-3659740,"Brief von Lily Abegg von Weltwoche  / Redaktion (Zürich) an Werner Heisenberg, 10.06.1950",1950-06-10,"Abegg, Lily (1901-1974); Weltwoche (Zürich) / Redaktion","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659759,"Brief von Werner Heisenberg an Rudolf Schneider an Welt der Schule. Schriftleitung, 19.11.1954",1954-11-19,"Heisenberg, Werner (1901-1976)","Schneider, Rudolf; Welt der Schule. Schriftleitung",,Brief
DE-611-BF-80364,"498. IV. Institutionen, 1. Korrespondenz: Welz-Wenzl",1954,,,,unknown
DE-611-HS-3659833,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Käthe Welzel, 12.05.1958",1958-05-12,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Welzel, Käthe","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3659847,"Brief von Käthe Welzel an Werner Heisenberg, 30.04.1958",1958-04-30,"Welzel, Käthe","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659868,"Brief von Unbekannt an Werner Heisenberg, 26.03.1961",1961-03-26,Unbekannt,"Heisenberg, Werner (1901-1976)","Eggert, John (1891-) [vermutlich]",Brief
DE-611-HS-3659903,"Brief von Clarence A. Wendel von Deutschland . Amerikanischer Hochkommissar (Bundesrepublik) an Werner Heisenberg, 30.03.1954",1954-03-30,"Wendel, Clarence A.; Deutschland (Bundesrepublik). Amerikanischer Hochkommissar","Heisenberg, Werner (1901-1976)","Friedrich, Walther",Brief
DE-611-HS-3659912,"Brief von Clarence A. Wendel von Deutschland . Amerikanischer Hochkommissar (Bundesrepublik) an Werner Heisenberg, 16.03.1954",1954-03-16,"Wendel, Clarence A.; Deutschland (Bundesrepublik). Amerikanischer Hochkommissar","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659917,"Brief von Clarence A. Wendel von Deutschland . Amerikanischer Hochkommissar (Bundesrepublik) an Werner Heisenberg, 22.01.1954",1954-01-22,"Wendel, Clarence A.; Deutschland (Bundesrepublik). Amerikanischer Hochkommissar","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3659923,"Brief von Karl Wendel an Werner Heisenberg, 18.10.1973",1973-10-18,"Wendel, Karl","Heisenberg, Werner (1901-1976)","Bohr, Niels (1885-1962); Lessing, Theodor (1872-1933); Eicke, Franz",Brief
DE-611-HS-3660000,"Brief von Kurt Wendlandt an Werner Heisenberg, 28.06.1972",1972-06-28,"Wendlandt, Kurt (1917-1998)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3660003,"Brief von Werner Heisenberg an Siegfried Wendt, 30.04.1958",1958-04-30,"Heisenberg, Werner (1901-1976)","Wendt, Siegfried (1901-1966)","Schumacher, Hermann (1868-1952)",Brief
DE-611-HS-3660006,"Brief von Siegfried Wendt an Werner Heisenberg, 23.04.1958",1958-04-23,"Wendt, Siegfried (1901-1966)","Heisenberg, Werner (1901-1976)","Schumacher, Hermann (1868-1952)",Brief
DE-611-HS-3660013,Aktenverweis (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3660020,"Brief von Werner Heisenberg an Luise-Charlotte Wentzel, 24.01.1973",1973-01-24,"Heisenberg, Werner (1901-1976)","Wentzel, Luise-Charlotte",,Brief
DE-611-HS-3660025,"Brief von Luise-Charlotte Wentzel an Werner Heisenberg, 16.01.1973",1973-01-16,"Wentzel, Luise-Charlotte","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3660027,"Brief von Werner Heisenberg an Magda von Wenz, 16.10.1974",1974-10-16,"Heisenberg, Werner (1901-1976)","Wenz, Magda von",,Brief
DE-611-HS-3660030,"Brief von Magda von Wenz an Werner Heisenberg, 09.10.1974",1974-10-09,"Wenz, Magda von","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3660148,Aktenverweis (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3660156,"Brief von Karl-Heinz Wenzel an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 10.12.1967",1967-12-10,"Wenzel, Karl-Heinz","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3660164,"Brief von Werner Heisenberg an Karl-Heinz Wenzel, 01.12.1967",1967-12-01,"Heisenberg, Werner (1901-1976)","Wenzel, Karl-Heinz",,Brief
DE-611-HS-3660177,"Brief von Karl-Heinz Wenzel an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 29.08.1967",1967-08-29,"Wenzel, Karl-Heinz","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3660452,"Brief von Werner Heisenberg an Wilhelm Wenzel, 14.06.1972",1972-06-14,"Heisenberg, Werner (1901-1976)","Wenzel, Wilhelm",,Brief
DE-611-HS-3660473,"Brief von Wilhelm Wenzel an Werner Heisenberg, 09.05.1972",1972-05-09,"Wenzel, Wilhelm","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3660493,"Brief von Anton Neuhäusler an Werner Heisenberg, 06.09.1966",1966-09-06,"Neuhäusler, Anton (1919-1997)","Heisenberg, Werner (1901-1976)","Wenzl, Aloys (1887-1967)",Brief
DE-611-BF-80365,"499. IV. Institutionen, 1. Korrespondenz: Werg-West",1950,,,,unknown
